Engineering Branch,I enjoy working close to hardware rather than only writing code.,I prefer decisions based on data and logic rather than intuition. ,I am curious about how software or apps work behind the scenes. ,I enjoy analyzing how mechanical systems behave under changing conditions. ,I enjoy learning new technologies on my own. ,I like understanding how machines or physical systems operate.,I am interested in how databases store and retrieve large amounts of data. ,I prefer structured problem statements over open-ended creative tasks. ,I enjoy understanding how noise affects signal quality. ,I am comfortable sitting for long hours solving problems on a computer. ,"I enjoy working with circuits, electronic components, or hardware kits. ","I enjoy breaking complex problems into smaller, logical steps. ","I am curious about how electricity is generated, transmitted, and distributed. ","I enjoy designing layouts, visuals, or user experiences. ","I am interested in how signals, networks, or communication systems work. ","I enjoy analyzing voltage, current, or power relationships in electrical systems.","I like puzzles, coding challenges, or logic-based games. ","I enjoy thinking about motion, forces, or energy transfer in physical systems. ",I enjoy integrating different software tools or platforms together. ,I remain focused and motivated even when solving a problem takes a long time to show results. ,"I am comfortable following strict standards, specifications, or safety rules. ",I am interested in how information is encoded and decoded for transmission. ,"I prefer practical, hands-on work over theoretical study. ","I enjoy reasoning about correctness of algorithms, not just output. ",I enjoy seeing real-world physical output rather than only screen-based results. ,"I am curious about how materials behave under stress, heat, or pressure. ","I like identifying trade-offs between efficiency, cost, and performance. ",I enjoy configuring or managing software-based systems. ,"I enjoy understanding how large systems work as a whole, not just individual parts. ",I enjoy thinking about system efficiency beyond just writing code. ,I am interested in how software performance scales with input size. ,I enjoy working with systems where safety margins are critical. ,I enjoy understanding how electrical or electronic systems behave under different conditions. ,I am curious about how electrical faults are detected and corrected. ,I enjoy working on long-term projects that require repeated testing and refinement. ,I enjoy understanding how communication systems maintain reliability. ,I enjoy debugging mistakes until I find the exact cause. ,I am curious how small differences in machine parts can change how a machine works. ,I enjoy thinking about failure modes in mechanical designs. ,"I enjoy analyzing problems related to power, load, or energy usage. ",I enjoy designing step-by-step procedures to solve computational problems. ,I am interested in how vibrations or oscillations affect machines. ,I enjoy explaining technical ideas to others. ,I am interested in how security policies protect digital systems.,"I like analyzing bandwidth, frequency, or spectrum usage. ",I enjoy evaluating designs based on safety and durability. ,I prefer digital solutions over manual or mechanical ones. ,I am comfortable working with abstract concepts like algorithms or formulas. ,I enjoy working with time-dependent or signal-based data. ,I feel comfortable making technical decisions that may affect real users or systems. ,I enjoy understanding how large software systems are structured internally. ,"I enjoy identifying trade-offs between efficiency, cost, and performance. ",I enjoy working on problems where multiple components interact together. ,I am interested in how protection systems prevent electrical failures. ,I enjoy thinking about system reliability from a user’s perspective. ,I enjoy reasoning about algorithmic correctness beyond surface-level testing. ,I am curious about how data is securely transferred over networks. ,I enjoy analyzing how efficiency losses occur in transmission or machines. ,I am interested in systems where software controls physical devices. ,"I enjoy evaluating designs that must balance performance, safety, and durability. "
EXTC,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree
EXTC,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral
EXTC,Agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree
EXTC,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree
EXTC,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral
EXTC,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree
EXTC,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree
EXTC,Disagree,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree
EXTC,Disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree
EXTC,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Neutral
EXTC,Neutral,Neutral,Strongly disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree
EXTC,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Neutral
EXTC,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral
EXTC,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree
EXTC,Disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree
EXTC,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral
EXTC,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree
EXTC,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral
EXTC,Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Agree,Agree,Agree
EXTC,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Neutral
EXTC,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral
EXTC,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly agree,Neutral
EXTC,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral
EXTC,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree
EXTC,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral
EXTC,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Neutral,Disagree,Disagree,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree
EXTC,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral
EXTC,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree
EXTC,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Agree
EXTC,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral
EXTC,Agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree
EXTC,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral
EXTC,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral
EXTC,Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Neutral
EXTC,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree
EXTC,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral
EXTC,Agree,Neutral,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral
EXTC,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral
EXTC,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree
EXTC,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree
EXTC,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral
EXTC,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral
